burst_index,t_start_s,measured_offset_from_f0_hz,commanded_offset_hz,residual_to_grid_hz,realization_error_hz
0,1.6356,-2742.58,0.0,7.76,7.76
1,2.956,-2041.63,728.12,708.71,-19.4
2,4.9546,-3580.86,-855.95,-830.52,25.43
3,6.9522,-2430.73,278.12,319.62,41.5
4,8.9559,-2178.0,529.01,572.34,43.33
5,10.9565,-3649.52,-900.0,-899.18,0.82
6,12.9562,-2180.86,529.01,569.48,40.47
7,14.9558,-2437.4,278.12,312.94,34.82
8,16.9562,-3589.44,-855.95,-839.1,16.85
9,18.9558,-2053.07,728.12,697.27,-30.84
