burst_index,t_rel_s,sent_utc,commanded_rf_freq_hz,commanded_offset_hz,tx_power_dbm,ack
0,0.0,2026-06-11T07:45:36Z,868000000,0.0,10,CARRIER_DONE 0 868000000 10 300
1,2.0,2026-06-11T07:45:37Z,868000728,728.115,10,CARRIER_DONE 1 868000728 10 300
2,4.0,2026-06-11T07:45:39Z,867999144,-855.951,10,CARRIER_DONE 2 867999144 10 300
3,6.0,2026-06-11T07:45:41Z,868000278,278.115,10,CARRIER_DONE 3 868000278 10 300
4,8.0,2026-06-11T07:45:43Z,868000529,529.007,10,CARRIER_DONE 4 868000529 10 300
5,10.0,2026-06-11T07:45:45Z,867999100,-900.0,10,CARRIER_DONE 5 867999100 10 300
6,12.0,2026-06-11T07:45:47Z,868000529,529.007,10,CARRIER_DONE 6 868000529 10 300
7,14.0,2026-06-11T07:45:49Z,868000278,278.115,10,CARRIER_DONE 7 868000278 10 300
8,16.0,2026-06-11T07:45:51Z,867999144,-855.951,10,CARRIER_DONE 8 867999144 10 300
9,18.0,2026-06-11T07:45:53Z,868000728,728.115,10,CARRIER_DONE 9 868000728 10 300
